ASSET	Quarter_TT	Transaction_Count	Quarter_R
ETHEREUM	Q1'20	59665014	Q1'20
ETHEREUM	Q2'20	78662819	Q2'20
ETHEREUM	Q3'20	103425666	Q3'20
ETHEREUM	Q4'20	103013471	Q4'20
ETHEREUM	Q1'21	112305702	Q1'21
ETHEREUM	Q2'21	123009465	Q2'21
ETHEREUM	Q3'21	110330271	Q3'21
ETHEREUM	Q4'21	116161925	Q4'21
ETHEREUM	Q1'22	105580971	Q1'22
ETHEREUM	Q2'22	99638984	Q2'22
ETHEREUM	Q3'22	105815264	Q3'22
ETHEREUM	Q4'22	97508049	Q4'22
ETHEREUM	Q1'23	94763301	Q1'23
ETHEREUM	Q2'23	95313768	Q2'23
ETHEREUM	Q3'23	93919245	Q3'23
ETHEREUM	Q4'23	99104337	Q4'23
ETHEREUM	Q1'24	107452234	Q1'24
ETHEREUM	Q2'24	106883044	Q2'24
ETHEREUM	Q3'24	103315009	Q3'24
ETHEREUM	Q4'24	112095611	Q4'24
ETHEREUM	Q1'25	110364282	Q1'25
ETHEREUM	Q2'25	121082115	Q2'25
ETHEREUM	Q3'25	98400000	Q3'25
BASE	Q1'20	0	Q1'20
BASE	Q2'20	0	Q2'20
BASE	Q3'20	0	Q3'20
BASE	Q4'20	0	Q4'20
BASE	Q1'21	0	Q1'21
BASE	Q2'21	0	Q2'21
BASE	Q3'21	0	Q3'21
BASE	Q4'21	0	Q4'21
BASE	Q1'22	0	Q1'22
BASE	Q2'22	0	Q2'22
BASE	Q3'22	0	Q3'22
BASE	Q4'22	0	Q4'22
BASE	Q1'23	0	Q1'23
BASE	Q2'23	690200	Q2'23
BASE	Q3'23	46079500	Q3'23
BASE	Q4'23	34348910	Q4'23
BASE	Q1'24	59864242	Q1'24
BASE	Q2'24	240829978	Q2'24
BASE	Q3'24	372137129	Q3'24
BASE	Q4'24	665118687	Q4'24
BASE	Q1'25	771997012	Q1'25
BASE	Q2'25	802318486	Q2'25
BASE	Q3'25	575100000	Q3'25
ARBITRUM	Q1'20	0	Q1'20
ARBITRUM	Q2'20	0	Q2'20
ARBITRUM	Q3'20	0	Q3'20
ARBITRUM	Q4'20	0	Q4'20
ARBITRUM	Q1'21	0	Q1'21
ARBITRUM	Q2'21	47699	Q2'21
ARBITRUM	Q3'21	1983511	Q3'21
ARBITRUM	Q4'21	2607239	Q4'21
ARBITRUM	Q1'22	5245025	Q1'22
ARBITRUM	Q2'22	8906694	Q2'22
ARBITRUM	Q3'22	17390620	Q3'22
ARBITRUM	Q4'22	52101081	Q4'22
ARBITRUM	Q1'23	81868300	Q1'23
ARBITRUM	Q2'23	119453078	Q2'23
ARBITRUM	Q3'23	87027860	Q3'23
ARBITRUM	Q4'23	103821064	Q4'23
ARBITRUM	Q1'24	117585205	Q1'24
ARBITRUM	Q2'24	207348035	Q2'24
ARBITRUM	Q3'24	197173684	Q3'24
ARBITRUM	Q4'24	220364950	Q4'24
ARBITRUM	Q1'25	204362653	Q1'25
ARBITRUM	Q2'25	187584782	Q2'25
ARBITRUM	Q3'25	188400000	Q3'25
OPTIMISM	Q1'20	0	Q1'20
OPTIMISM	Q2'20	0	Q2'20
OPTIMISM	Q3'20	0	Q3'20
OPTIMISM	Q4'20	0	Q4'20
OPTIMISM	Q1'21	0	Q1'21
OPTIMISM	Q2'21	0	Q2'21
OPTIMISM	Q3'21	0	Q3'21
OPTIMISM	Q4'21	1806115	Q4'21
OPTIMISM	Q1'22	3350509	Q1'22
OPTIMISM	Q2'22	8415657	Q2'22
OPTIMISM	Q3'22	13019556	Q3'22
OPTIMISM	Q4'22	31870268	Q4'22
OPTIMISM	Q1'23	26799399	Q1'23
OPTIMISM	Q2'23	32316346	Q2'23
OPTIMISM	Q3'23	45674727	Q3'23
OPTIMISM	Q4'23	31185770	Q4'23
OPTIMISM	Q1'24	42749396	Q1'24
OPTIMISM	Q2'24	54711680	Q2'24
OPTIMISM	Q3'24	54920956	Q3'24
OPTIMISM	Q4'24	85390316	Q4'24
OPTIMISM	Q1'25	84173989	Q1'25
OPTIMISM	Q2'25	94401644	Q2'25
OPTIMISM	Q3'25	80700000	Q3'25
STARKNET	Q1'20	0	Q1'20
STARKNET	Q2'20	0	Q2'20
STARKNET	Q3'20	0	Q3'20
STARKNET	Q4'20	0	Q4'20
STARKNET	Q1'21	0	Q1'21
STARKNET	Q2'21	0	Q2'21
STARKNET	Q3'21	0	Q3'21
STARKNET	Q4'21	16342	Q4'21
STARKNET	Q1'22	61836	Q1'22
STARKNET	Q2'22	270435	Q2'22
STARKNET	Q3'22	293407	Q3'22
STARKNET	Q4'22	1300506	Q4'22
STARKNET	Q1'23	2554552	Q1'23
STARKNET	Q2'23	12972252	Q2'23
STARKNET	Q3'23	38450256	Q3'23
STARKNET	Q4'23	34106324	Q4'23
STARKNET	Q1'24	16318477	Q1'24
STARKNET	Q2'24	7418967	Q2'24
STARKNET	Q3'24	7865691	Q3'24
STARKNET	Q4'24	19223912	Q4'24
STARKNET	Q1'25	22437660	Q1'25
STARKNET	Q2'25	33950864	Q2'25
STARKNET	Q3'25	18400000	Q3'25
ZKSYNC	Q1'20	0	Q1'20
ZKSYNC	Q2'20	0	Q2'20
ZKSYNC	Q3'20	0	Q3'20
ZKSYNC	Q4'20	0	Q4'20
ZKSYNC	Q1'21	0	Q1'21
ZKSYNC	Q2'21	0	Q2'21
ZKSYNC	Q3'21	0	Q3'21
ZKSYNC	Q4'21	0	Q4'21
ZKSYNC	Q1'22	0	Q1'22
ZKSYNC	Q2'22	0	Q2'22
ZKSYNC	Q3'22	0	Q3'22
ZKSYNC	Q4'22	0	Q4'22
ZKSYNC	Q1'23	2596948	Q1'23
ZKSYNC	Q2'23	46361585	Q2'23
ZKSYNC	Q3'23	86561330	Q3'23
ZKSYNC	Q4'23	83216641	Q4'23
ZKSYNC	Q1'24	118494212	Q1'24
ZKSYNC	Q2'24	73647551	Q2'24
ZKSYNC	Q3'24	22832363	Q3'24
ZKSYNC	Q4'24	13416515	Q4'24
ZKSYNC	Q1'25	10314023	Q1'25
ZKSYNC	Q2'25	5421605	Q2'25
ZKSYNC	Q3'25	3200000	Q3'25
